                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                0.71163,                 1.2259,                0.54386,                 1.1493,                0.99421,                      1,                  0.995,                0.81827,                0.99421,                      1,                  0.995,                0.80917,                0.71127,                  1.151,                0.40972,                 1.1777,              0.0007922,              0.0007922,              0.0007922
                     64,                0.65684,                 1.1035,                0.47623,                 1.1102,                 0.9972,                  0.975,                0.99451,                0.82063,                 0.9972,                  0.975,                0.99451,                0.80542,                0.69753,                 1.2005,                0.42516,                 1.1491,              0.0007724,              0.0007724,              0.0007724
                     65,                0.70976,                 1.2025,                0.53477,                 1.1248,                      1,                0.97227,                0.99405,                0.81578,                0.99722,                   0.95,                 0.9933,                 0.7876,                0.70493,                 1.1219,                0.44326,                 1.1504,              0.0007526,              0.0007526,              0.0007526
                     66,                0.69742,                 1.0922,                0.51022,                 1.1118,                 0.9729,                  0.975,                0.99285,                0.76497,                 0.9729,                  0.975,                0.97618,                0.74995,                0.84195,                 1.3268,                0.54287,                 1.3171,              0.0007328,              0.0007328,              0.0007328
                     67,                0.71522,                 1.1312,                0.53411,                 1.1439,                      1,                0.94787,                0.97979,                0.74974,                      1,                0.94787,                0.97979,                0.74893,                0.81516,                 1.2503,                0.56037,                 1.3133,               0.000713,               0.000713,               0.000713
                     68,                0.66667,                 1.1389,                0.52559,                 1.0957,                0.99191,                   0.95,                0.99151,                0.80987,                0.99191,                   0.95,                0.99151,                0.79817,                0.67896,                 1.1106,                0.48756,                 1.1245,              0.0006932,              0.0006932,              0.0006932
                     69,                0.66775,                 1.1297,                 0.5014,                 1.0995,                      1,                0.94392,                0.99045,                0.82821,                      1,                0.94392,                0.99045,                0.79162,                0.68113,                 1.1553,                0.48917,                 1.1181,              0.0006734,              0.0006734,              0.0006734
                     70,                0.69276,                 1.1749,                0.52633,                 1.1498,                0.99627,                   0.95,                0.99214,                0.80953,                0.99627,                   0.95,                0.99214,                0.78693,                 0.7195,                 1.2376,                0.49948,                 1.1852,              0.0006536,              0.0006536,              0.0006536
                     71,                0.65681,                  1.128,                0.51211,                 1.0795,                0.97007,                   0.95,                0.99053,                0.82828,                0.97007,                   0.95,                0.99053,                0.79549,                 0.7044,                 1.1511,                0.47286,                 1.1789,              0.0006338,              0.0006338,              0.0006338
                     72,                0.65405,                 1.0995,                0.50811,                 1.0878,                0.97426,                0.94635,                0.98974,                0.82627,                0.97426,                0.94635,                0.98974,                0.80706,                0.68402,                  1.148,                0.45942,                 1.1577,               0.000614,               0.000614,               0.000614
                     73,                 0.6368,                 1.1167,                0.48594,                 1.1101,                0.99586,                   0.95,                0.99262,                0.82345,                0.99586,                   0.95,                0.99214,                0.80272,                0.69071,                  1.211,                0.45184,                  1.169,              0.0005942,              0.0005942,              0.0005942
                     74,                0.65573,                 1.0899,                0.47418,                 1.0972,                0.99372,                   0.95,                0.99172,                0.83233,                0.99372,                   0.95,                0.99104,                0.80524,                0.66975,                 1.1183,                0.42764,                 1.1491,              0.0005744,              0.0005744,              0.0005744
                     75,                0.64874,                 1.1284,                0.45518,                 1.0826,                0.99859,                   0.95,                0.99214,                  0.829,                0.99859,                   0.95,                0.99214,                0.80794,                0.68534,                 1.0907,                0.42913,                 1.1725,              0.0005546,              0.0005546,              0.0005546
                     76,                0.68036,                 1.1576,                0.52154,                 1.1052,                0.95233,                0.99887,                0.99262,                0.83946,                0.95233,                0.99887,                0.99262,                0.81217,                0.66933,                 1.0951,                0.42416,                 1.1418,              0.0005348,              0.0005348,              0.0005348
                     77,                0.61878,                 1.0693,                0.44475,                 1.0499,                0.97494,                0.97247,                0.99235,                0.84179,                0.97494,                0.97247,                0.99235,                0.81622,                 0.6478,                 1.0527,                0.42156,                 1.1011,               0.000515,               0.000515,               0.000515
                     78,                0.69103,                 1.1371,                0.50963,                 1.1158,                0.97297,                   0.95,                0.98445,                0.83608,                0.97297,                   0.95,                0.98445,                0.81714,                0.62924,                 1.0676,                0.46242,                 1.0852,              0.0004952,              0.0004952,              0.0004952
                     79,                0.61147,                 1.0178,                0.44337,                  1.079,                0.97419,                0.94377,                0.97768,                0.83898,                0.97419,                0.94377,                0.97768,                0.81767,                0.61632,                 1.0631,                0.47987,                 1.0902,              0.0004754,              0.0004754,              0.0004754
                     80,                0.71996,                  1.205,                0.51297,                 1.1461,                0.99312,                  0.975,                0.99405,                0.78948,                0.99312,                  0.975,                0.99405,                0.76472,                0.76283,                  1.219,                0.46139,                 1.2374,              0.0004556,              0.0004556,              0.0004556
                     81,                0.62038,                 1.1369,                0.48214,                 1.0655,                0.97365,                      1,                  0.995,                0.81659,                0.97365,                      1,                  0.995,                0.78404,                0.72715,                 1.1747,                0.44829,                  1.216,              0.0004358,              0.0004358,              0.0004358
                     82,                0.63957,                 1.1439,                0.48331,                 1.0903,                0.99884,                  0.975,                0.99451,                0.80636,                0.99884,                  0.975,                0.99405,                0.79362,                 0.7034,                 1.1124,                0.38752,                 1.1956,               0.000416,               0.000416,               0.000416
                     83,                 0.6153,                 1.0788,                0.45167,                 1.0516,                      1,                0.97427,                0.99451,                0.81799,                      1,                0.97427,                0.99451,                0.80422,                0.68964,                 1.0869,                 0.3853,                 1.1772,              0.0003962,              0.0003962,              0.0003962
                     84,                0.61287,                 1.0546,                 0.4585,                 1.0532,                 0.9974,                  0.975,                0.99451,                0.81346,                 0.9974,                  0.975,                0.99451,                0.79333,                 0.7184,                 1.1508,                0.38279,                 1.1817,              0.0003764,              0.0003764,              0.0003764
                     85,                0.61968,                 1.0494,                0.46351,                 1.0765,                      1,                0.99749,                  0.995,                 0.8216,                0.99733,                  0.975,                 0.9936,                0.79338,                0.71396,                 1.1979,                0.39761,                 1.1967,              0.0003566,              0.0003566,              0.0003566
                     86,                0.61546,                 1.0248,                0.44892,                 1.0652,                0.95219,                0.99586,                0.99262,                0.80906,                0.99486,                   0.95,                0.99151,                 0.7977,                0.70183,                 1.1487,                0.41695,                 1.1824,              0.0003368,              0.0003368,              0.0003368
                     87,                0.61738,                 1.0826,                0.42689,                 1.0833,                      1,                 0.9396,                0.99214,                 0.8072,                      1,                 0.9396,                0.99214,                0.79987,                0.70122,                 1.1059,                0.43133,                 1.1873,               0.000317,               0.000317,               0.000317
